word,frequency,definition
signaled,3.0,"sign, indication"
laureate,1.0,the recipient of honor or recognition for achievement in an art or science
evacuation,3.0,the act or process of evacuating
evacuated,1.0,to remove the contents of empty
requests,5.0,the act or an instance of asking for something
ambiguous,1.0,doubtful or uncertain especially from obscurity or indistinctness
impertinent,1.0,given to or characterized by insolent rudeness
requesting,1.0,the act or an instance of asking for something
Fourth,2.0,one that is number four in a series — see Table of Numbers
Fifth,2.0,one that is number five in a series — see Table of Numbers
Sixth,1.0,one that is number six in a series — see Table of Numbers
motioned,1.0,"an act, process, or instance of changing place movement a pendulum in motion"
transforms,1.0,to change in composition or structure
neuron,2.0,a grayish or reddish granular cell that is the fundamental functional unit of nervous tissue transmitting and receiving nerve impulses and having cytoplasmic processes which are highly differentiated frequently as multiple dendrites or usually as solitary axons which conduct impulses to and away from the cell body nerve cell sense 1
motorists,1.0,a person who travels by automobile
Everest,2.0,"the highest point climax, apex"
earthwork,1.0,an embankment or other construction made of earth
undercarriage,1.0,a supporting framework or underside (as of an automobile)
Mount,1.0,a high hill mountain —used especially before an identifying nameMount Everest
landmass,1.0,a large area of land
rodents,2.0,"any of an order (Rodentia) of relatively small gnawing mammals (such as a mouse, squirrel, or beaver) that have in both jaws a single pair of incisors with a chisel-shaped edge"
snout,4.0,a long projecting nose (as of a swine)
cursor,3.0,a movable item used to mark a positionsuch as
stealthily,7.0,"slow, deliberate, and secret in action or character"
gnawing,1.0,to bite or chew on with the teeth
rodent,2.0,"any of an order (Rodentia) of relatively small gnawing mammals (such as a mouse, squirrel, or beaver) that have in both jaws a single pair of incisors with a chisel-shaped edge"
hairless,1.0,a slender threadlike outgrowth of the epidermis of an animal
haired,1.0,having hair especially of a specified kind
pharynx,4.0,"the muscular tubular passage of the vertebrate digestive and respiratory tracts extending from the back of the nasal cavity and mouth to the esophagus — compare nasopharynx, oropharynx"
gums,2.0,the tissue that surrounds the necks of teeth and covers the alveolar parts of the jaws
mouthpiece,2.0,something placed at or forming a mouth
Burgess,1.0,a citizen of a British borough
sulky,1.0,sulking or given to spells of sulking
bombastically,1.0,"marked by or given to speech or writing that is given exaggerated importance by artificial or empty means marked by or given to bombast pompous, overblown"
declaim,2.0,to speak rhetorically
soundlessly,1.0,incapable of being sounded unfathomable
indistinctly,1.0,not distinctsuch as
mumble,1.0,to utter words in a low confused indistinct manner mutter
mouthed,1.0,having a mouth especially of a specified kind
pompously,1.0,excessively elevated or ornate pompous rhetoric
rant,1.0,"to talk in a noisy, excited, or declamatory manner"
insolently,1.0,insultingly contemptuous in speech or conduct overbearing
evacuate,5.0,to remove the contents of empty
displace,2.0,to remove from the usual or proper place
budge,3.0,a fur formerly prepared from lambskin dressed with the wool outward
sunk,7.0,depressed in spirits
retiring,3.0,"reserved, shy"
Move,2.0,to go or pass to another place or in a certain direction with a continuous motion
fecal,2.0,"of, relating to, or constituting feces"
watched,11.0,to keep vigil as a devotional exercise
detected,6.0,to discover the true character of
fairer,1.0,"marked by impartiality and honesty free from self-interest, prejudice, or favoritism"
themes,2.0,a subject or topic of discourse or of artistic representation
vibrant,2.0,"pulsating with life, vigor, or activity"
expelled,2.0,to force out eject expelled the smoke from her lungs
emptying,1.0,containing nothing
awful,3.0,extremely disagreeable or objectionable
considerably,6.0,worth consideration significant a considerable artist
happier,3.0,favored by luck or fortune fortunate a happy coincidence
gratified,3.0,to be a source of or give pleasure or satisfaction to
slimy,1.0,"of, relating to, or resembling slime viscous"
anathema,1.0,someone or something intensely disliked or loathed
lubrication,1.0,to make smooth or slippery
flushing,1.0,section of New York City on Long Island in Queens; scene of 1939–40 and 1964–65 World's Fairs and present-day site of the U.S. Open tennis championships
muddy,1.0,morally impure base
turbid,1.0,thick or opaque with or as if with roiled sediment
multiplicand,1.0,the number that is to be multiplied by another
plies,1.0,a bending of the knees outward by a ballet dancer with the back held straight
unlawfully,10.0,not lawful illegal
aforethought,2.0,"previously in mind premeditated, deliberate with malice aforethought"
crows,2.0,any of various large usually entirely glossy black passerine birds (family Corvidae and especially genus Corvus)
wantonly,2.0,"merciless, inhumane wanton cruelty"
mutilate,2.0,to cut up or alter radically so as to make imperfect
mangle,2.0,"to injure with deep disfiguring wounds by cutting, tearing, or crushing"
murders,2.0,the crime of unlawfully killing a person especially with malice aforethought was convicted of murder
unjustifiably,2.0,unable to be justified not excusable or justifiable an unjustifiable decision taking an unjustifiable risk unjustifiable expenses
homicide,2.0,a person who kills another
manslaughter,6.0,the unlawful killing of a human being without express or implied malice
depraved,6.0,marked by corruption or evil
kidnapping,2.0,to seize and detain or carry away by unlawful force or fraud and often with a demand for ransom
perpetration,2.0,"to bring about or carry out (something, such as a crime or deception) commit"
striated,1.0,marked with striations or striae
agonist,1.0,one that is engaged in a struggle
synergist,1.0,something (such as a chemical or a muscle) that enhances the effectiveness of an active agent
procurement,2.0,the act or process of procuring
euphony,1.0,pleasing or sweet sound
nightingale,1.0,an Old World thrush (Luscinia megarhynchos synonym Erithacus megarhynchos) noted for the sweet usually nocturnal song of the male
melodious,1.0,having a pleasing melody
musicale,1.0,a social entertainment with music as the leading feature
sentimental,3.0,"marked or governed by feeling, sensibility, or emotional idealism"
dialogue,7.0,a written composition in which two or more characters are represented as conversing
instrumentalist,3.0,a player on a musical instrument
sings,4.0,to produce musical tones by means of the voice
unreasonably,3.0,not governed by or acting according to reason
perversely,2.0,turned away from what is right or good corrupt
imperative,1.0,not to be avoided or evaded necessary an imperative duty
fermentation,5.0,a chemical change with effervescence
musk,1.0,a substance with a penetrating persistent odor obtained from a sac beneath the abdominal skin of the male musk deer and used as a perfume fixative
mustiness,1.0,impaired by damp or mildew moldy old musty books musty hay
bristles,1.0,a short stiff coarse hair or filament hog bristles short bristle paint brushes
primates,4.0,"a bishop who has precedence in a province, a group of provinces, or a nation"
claw,6.0,a sharp usually slender and curved nail on the toe of an animal
pounded,3.0,any of various units of mass and weight
nailed,5.0,a horny sheath protecting the upper end of each finger and toe of humans and most other primates
impressively,3.0,"making or tending to make a marked impression having the power to excite attention, awe, or admiration"
fingernail,10.0,the nail of a finger
toenail,6.0,a nail of a toe
thickened,5.0,to become dense
epithelial,3.0,of or relating to epithelium
lucidum,2.0,"— see stratum lucidum, tapetum lucidum"
dermis,5.0,"the vascular, thick layer of the skin lying below the epidermis and above the superficial fascia that contains fibroblasts, macrophages, mast cells, B cells, and sensory nerve endings and has an extracellular matrix composed of proteoglycans and glycoproteins embedded with collagen and elastin fibers"
scabbard,1.0,"a sheath for a sword, dagger, or bayonet"
pubescence,2.0,the quality or state of being pubescent
subtending,1.0,to be opposite to and extend from one side to the other of
embellishment,1.0,the act or process of embellishing
unadorned,1.0,"not adorned lacking embellishment or decoration plain, simple"
unarmed,1.0,not armed or armored
blockers,2.0,a compact usually solid piece of substantial material especially when worked or altered to serve a particular purpose
unaided,2.0,not provided with help or assistance
stripped,3.0,"to remove clothing, covering, or surface matter from"
aided,1.0,to provide with what is useful or necessary in achieving an end
myelin,1.0,"a soft white material that forms a thick layer around the axons of some neurons and is composed chiefly of lipids (such as cerebroside and cholesterol), water, and smaller amounts of protein"
celebrities,2.0,the state of being celebrated fame The actress lived a life of celebrity.
refers,8.0,"to think of, regard, or classify within a general category or group"
widths,1.0,the horizontal measurement taken at right angles to the length breadth
illiberal,2.0,not liberalsuch as
niggardly,1.0,grudgingly mean about spending or granting begrudging … management was being niggardly with raises.— Dana Canedy
meticulous,2.0,marked by extreme or excessive care in the consideration or treatment of details
Slav,1.0,a person whose native tongue is a Slavic language
forged,2.0,formed by pressing or hammering with or without heat
Yugoslavia,2.0,"former country in southern Europe on the Balkan Peninsula consisting of Serbia, Montenegro, Slovenia, Croatia, Bosnia and Herzegovina, and Macedonia"
fusing,1.0,to reduce to a liquid or plastic state by heat
Yugoslav,1.0,"former country in southern Europe on the Balkan Peninsula consisting of Serbia, Montenegro, Slovenia, Croatia, Bosnia and Herzegovina, and Macedonia"
Kohn,1.0,Walter 1923–2016 American (Austrian-born) physicist
nationalities,3.0,national character
tribes,3.0,"a social group comprising numerous families, clans, or generations together with slaves, dependents, or adopted strangers"
Amelia,1.0,island at the northeastern tip of Florida in the Atlantic
Moore,2.0,George 1852–1933 Irish author
nationalist,1.0,an advocate of or believer in nationalism
Wylie,1.0,Elinor Morton 1885–1928 née Hoyt American poet and novelist
inborn,3.0,present from or as if from birth
unaffected,2.0,"not influenced or changed mentally, physically, or chemically"
reared,2.0,to erect by building construct
Europeans,2.0,"of, relating to, or characteristic of Europe or its people"
consanguinity,4.0,the quality or state of being consanguineous persons related by consanguinity
illegitimate,6.0,not recognized as lawful offspring
implanted,3.0,to fix or set securely or deeply
marvelous,3.0,causing wonder astonishing the marvelous directional sense of migrating birds
unregenerate,1.0,not regenerate the unregenerate condition of humanity unregenerate pagans
untouched,1.0,not subjected to touching not handled
civilization,2.0,a relatively high level of cultural and technological development
artificiality,1.0,humanly contrived (see contrive sense 1b) often on a natural model man-made an artificial limb artificial diamonds
Successful,1.0,resulting or terminating in success a successful attempt
imitative,3.0,marked by imitation acting is an imitative art
flats,1.0,lying at full length or spread out upon the ground prostrate The soldiers were lying flat on the ground.
sharps,1.0,adapted to cutting or piercingsuch as
craps,5.0,a gambling game played with two dice
afro,1.0,a hairstyle of tight curls in a full evenly rounded shape
excretory,1.0,"of, relating to, or functioning in excretion excretory ducts"
logistic,1.0,of or relating to symbolic logic
frugal,6.0,characterized by or reflecting economy in the use of resources
narrowly,12.0,of slender width
closefisted,3.0,"stingy, tightfisted"
neared,3.0,"at, within, or to a short distance or time"
galloping,3.0,"progressing, developing, or increasing rapidly"
Lawson,3.0,"being of or belonging to an overstuffed furniture design marked by square seat cushions, short squarish back rests, and high square or roll arms"
Rabbit,3.0,any of a family (Leporidae) of long-eared short-tailed lagomorph mammals with long hind legs:
Hill,4.0,a usually rounded natural elevation of land lower than a mountain
Bertrand,1.0,either of two twisted curves having the property that the principal normals to one of them are also principal normals to the other
dilution,2.0,the action of diluting the state of being diluted
brandy,1.0,an alcoholic beverage distilled from wine or fermented fruit juice
tasteful,1.0,"having, exhibiting, or conforming to good taste a tasteful display"
taurus,2.0,a zodiacal constellation that contains the Pleiades and Hyades and is represented pictorially by a bull's forequarters
messy,2.0,"marked by confusion, disorder, or dirt untidy a messy room"
fascinating,1.0,extremely interesting or charming captivating a fascinating documentary gave a fascinating account of the expedition
Food,2.0,"material consisting essentially of protein, carbohydrate, and fat used in the body of an organism to sustain growth, repair, and vital processes and to furnish energy"
Death,1.0,a permanent cessation of all vital (see vital sense 2a) functions the end of life
Taking,1.0,"to get into one's hands or into one's possession, power, or controlsuch as"
siphon,1.0,a tube bent to form two legs of unequal length by which a liquid can be transferred to a lower level over an intermediate elevation by the pressure of the atmosphere in forcing the liquid up the shorter branch of the tube immersed in it while the excess of weight of the liquid in the longer branch when once filled causes a continuous flow
bivalve,1.0,being or having a shell composed of two valves
mollusk,4.0,"any of a large phylum (Mollusca) of invertebrate animals (such as snails, clams, or squids) with a soft unsegmented body usually enclosed in a calcareous shell"
clam,1.0,"clamp, clasp"
fingerboard,3.0,the part of a stringed instrument against which the fingers press the strings to vary the pitch — see violin illustration
solidified,1.0,"to make solid, compact, or hard"
volcanic,1.0,"of, relating to, or produced by a volcano"
laccolith,1.0,a mass of igneous rock that is intruded between sedimentary beds and produces a domical bulging of the overlying strata
caressing,5.0,"to treat with tokens of fondness, affection, or kindness cherish the regiment was fed and caressed at station after station— Stephen Crane"
narrowed,4.0,of slender width
tapeworm,1.0,"any of a class (Cestoda) of bilaterally symmetrical flatworms that are parasitic as adults in the intestines of vertebrates including humans and consist of a scolex usually with suckers or hooks followed posteriorly by an undifferentiated neck region from which buds off an often long chain of proglottids In most instances, adult tapeworms have little visible effect on their hosts except in heavy infections, which may result in anemia, weight loss, and various secondary manifestations.— Burton J. Bogitsh et al. — called also cestode"
proglottids,1.0,a segment of a tapeworm containing both male and female reproductive organs
subsistence,5.0,real being existence
needful,2.0,being in need
An,4.0,a entry 2 an opera an honor
stitches,15.0,a local sharp and sudden pain especially in the side
crocheting,1.0,needlework consisting of the interlocking of looped stitches formed with a single thread and a hooked needle
stainless,4.0,free from stain or stigma
acupuncture,1.0,an originally Chinese practice of inserting fine needles through the skin at specific points especially to cure disease or relieve pain (as in surgery)
obelisk,1.0,an upright 4-sided usually monolithic pillar that gradually tapers as it rises and terminates in a pyramid
conifer,1.0,any of an order (Coniferales) of mostly evergreen trees and shrubs having usually needle-shaped or scalelike leaves and including forms (such as pines) with true cones and others (such as yews) with an arillate fruit
stylus,4.0,"an instrument for writing, marking, or incisingsuch as"
gibing,1.0,to utter taunting words
gibes,1.0,to utter taunting words
embroider,3.0,to ornament with needlework
pushed,4.0,to press against with force in order to drive or impel
taunt,1.0,to reproach or challenge in a mocking or insulting manner jeer at
parenterally,1.0,situated or occurring outside the intestine
puncture,3.0,an act of puncturing
inject,2.0,to introduce into something forcefully
prohibition,2.0,the act of prohibiting by authority
withholding,3.0,to hold back from action check
denying,9.0,to declare untrue
negation,8.0,the action or logical operation of negating or making negative
reviews,2.0,a formal military inspection
outgo,1.0,to go beyond outdo
affirming,6.0,"validate, confirm He was affirmed as a candidate."
inverse,11.0,"opposite in order, nature, or effect"
inverted,3.0,"to reverse in position, order, or relationship"
denies,6.0,to declare untrue
contradicts,2.0,to assert the contrary of take issue with
drawback,1.0,a refund of duties especially on an imported product subsequently exported or used to produce a product for export
upholds,1.0,to give support to
argues,1.0,to give reasons for or against something reason argue for a new policy
percentages,3.0,a part of a whole expressed in hundredths
abolished,1.0,"to end the observance or effect of (something, such as a law) to completely do away with (something) annul abolish a law abolish slavery"
renders,2.0,to melt down
criminally,1.0,"relating to, involving, or being a crime criminal neglect a criminal organization"
recklessness,1.0,marked by lack of proper caution careless of consequences
culpably,1.0,meriting condemnation or blame especially as wrong or harmful
thou,3.0,the one addressed
thyself,1.0,yourself —used especially in ecclesiastical or literary language and sometimes by Friends especially among themselves
neighborly,2.0,"of, relating to, or characteristic of congenial neighbors"
refugees,1.0,one that flees
axons,2.0,a usually long and single nerve-cell process that usually conducts impulses away from the cell body — see neuron illustration
audacity,1.0,the quality or state of being audacioussuch as
frightening,2.0,causing fear
Joey,4.0,a baby animal
Loses,4.0,to bring to destruction
Control,4.0,to exercise restraining or directing influence over regulate control one's anger
funiculi,2.0,a bodily structure suggesting a cord
perineurium,1.0,the connective-tissue sheath that surrounds a bundle of nerve fibers
epineurium,1.0,the external connective-tissue sheath of a nerve trunk
jumpy,1.0,"nervous, jittery"
escorted,1.0,a person or group of persons accompanying another to give protection or as a courtesy
Andrea,1.0,1486–1530 Andrea d'Agnolo Florentine painter
spirited,5.0,"full of energy, animation, or courage"
sinewy,1.0,full of sinewssuch as
abode,1.0,the place where one lives home were reluctant to leave their lifelong abode Welcome to my humble abode.
hangout,1.0,a favorite place for spending time
frequenters,1.0,"to associate with, be in, or resort to often or habitually"
hotbed,1.0,"a bed of soil enclosed in glass, heated especially by fermenting manure, and used for forcing or for raising seedlings"
emplaced,1.0,to put into position
cozy,1.0,enjoying or affording warmth and ease snug a cozy lakeside cabin
clump,1.0,a group of things clustered together
entrapping,1.0,to catch in or as if in a trap
reticulation,1.0,a reticulated formation network
internet,2.0,an electronic communications network that connects computer networks and organizational computer facilities around the world
Net,1.0,"an open-meshed fabric twisted, knotted, or woven together at regular intervals"
netting,3.0,network sense 1
tare,1.0,the seed of a vetch
deducting,1.0,to take away (an amount) from a total subtract
traps,3.0,personal belongings luggage
portal,1.0,"door, entrance"
capillary,1.0,resembling a hair especially in slender elongated form
Steen,1.0,Jan 1626–1679 Dutch painter
Ashley,2.0,river 40 miles (64 kilometers) long in southern South Carolina flowing southeast into Charleston harbor
Montagu,1.0,Lady Mary Wortley 1689–1762 English letter writer and poet
crossings,2.0,the act or action of crossingsuch as
interconnected,2.0,mutually joined or related
peripherals,1.0,"of, relating to, involving, or forming a periphery or surface part"
informally,2.0,marked by the absence of formality or ceremony
networking,1.0,"the exchange of information or services among individuals, groups, or institutions"
printers,1.0,one that printssuch as
neutrals,1.0,one that is neutral The two countries were neutrals while their neighbors were at war.
disengagement,1.0,to release from something that engages or involves
aligned,4.0,to bring into line or alignment aligned the books on the shelf
neuter,1.0,"of, relating to, or constituting the gender that ordinarily includes most words or grammatical forms referring to things classed as neither masculine nor feminine"
Corbin,1.0,the caudal segment of the sternum of a deer
Slightly,1.0,having a slim or delicate build not stout or massive in body
unfamiliar,10.0,not familiar:
resumption,1.0,an act or instance of resuming recommencement
Carolina,3.0,"English colony 1663–1729 on the east coast of North America, divided 1729 into North Carolina and South Carolina (the"
Gauley,1.0,river in central West Virginia flowing 104 miles (167 kilometers) west and south to join the New River forming the Kanawha River
Kanawha,1.0,river 97 miles (156 kilometers) long in western West Virginia flowing northwest through Charleston and eventually into the Ohio River
mown,1.0,a piled-up stack (as of hay or fodder)
affluent,3.0,having an abundance of goods or riches wealthy affluent families our affluent society
afresh,1.0,"from a fresh beginning anew, again"
newscast,2.0,a radio or television broadcast of news
layoffs,1.0,a period of inactivity or idleness
publishes,2.0,to make generally known
newsprint,1.0,paper made chiefly from groundwood pulp and used mostly for newspapers
hypothetically,3.0,by making an assumption for the sake of discussion or argument in a hypothetical way
skirts,1.0,a free-hanging part of an outer garment or undergarment extending from the waist down
finicky,2.0,"extremely or excessively particular, exacting, or meticulous in taste or standards"
junk,2.0,"old iron, glass, paper, or other waste that may be used again in some form"
exacting,4.0,tryingly or unremittingly severe in making demands
punctilious,1.0,marked by or concerned about precise accordance with the details of codes or conventions
dissolute,1.0,lacking restraint
coy,1.0,"marked by cute, coquettish, or artful playfulness"
reticent,1.0,inclined to be silent or uncommunicative in speech reserved
Mediterranean,1.0,"of, relating to, or characteristic of the Mediterranean Sea"
dusk,4.0,dusky beginning to grow dusk outside
nighttime,2.0,the time from dusk to dawn
Friday,4.0,the sixth day of the week
nobelium,6.0,a radioactive metallic element produced artificially — see Chemical Elements Table
senseless,2.0,"destitute of, deficient in, or contrary to sensesuch as"
shouting,5.0,to utter a sudden loud cry
undesired,1.0,not wanted or desired unwanted an undesired result/effect undesired behavior an undesired visitor
slander,1.0,to utter slander against defame
feedback,1.0,"the transmission of evaluative or corrective information about an action, event, or process to the original or controlling source"
buses,4.0,a large motor vehicle designed to carry passengers usually along a fixed route according to a schedule
clamor,1.0,noisy shouting
gaudy,3.0,ostentatiously or tastelessly ornamented
sweater,3.0,one that sweats or causes sweating
attestation,8.0,an act or instance of attesting somethingsuch as
inviolability,1.0,secure from violation or profanation
corroborated,2.0,to support with evidence or authority make more certain
irreverent,1.0,lacking proper respect or seriousness
swear,1.0,to utter or take solemnly (an oath)
impolite,3.0,not polite rude
hippocratic,1.0,of or relating to Hippocrates or to the school of medicine that took his name
faithfully,2.0,steadfast in affection or allegiance loyal a faithful friend
testifying,5.0,to make a solemn declaration under oath for the purpose of establishing a fact (as in a court)
obediently,1.0,submissive to the restraint or command of authority willing to obey
stirs,4.0,to cause an especially slight movement or change of position of
gerund,2.0,a verbal noun in Latin that expresses generalized or uncompleted action
prepositional,2.0,a function word that typically combines with a noun phrase to form a phrase which usually expresses a modification or predication
constants,3.0,marked by firm steadfast resolution or faithfulness exhibiting constancy of mind or attachment
manipulated,3.0,to treat or operate with or as if with the hands or by mechanical means especially in a skillful manner
objected,2.0,something material that may be perceived by the senses
objecting,4.0,something material that may be perceived by the senses
prejudices,2.0,injury or damage resulting from some judgment or action of another in disregard of one's rights
observers,4.0,one that observessuch as
prepositions,5.0,a function word that typically combines with a noun phrase to form a phrase which usually expresses a modification or predication
verbs,4.0,"a word that characteristically is the grammatical center of a predicate and expresses an act, occurrence, or mode of being, that in various languages is inflected for agreement with the subject, for tense, for voice, for mood, or for aspect, and that typically has rather full descriptive meaning and characterizing quality but is sometimes nearly devoid of these especially when used as an auxiliary or linking verb"
pronouns,3.0,any of a small set of words in a language that are used as substitutes for nouns or noun phrases and whose referents are named or understood in the context
Before,4.0,in advance ahead marching on before
recognizing,3.0,to acknowledge formallysuch as
diagnose,1.0,"to recognize (something, such as a disease) by signs and symptoms"
augury,1.0,divination from auspices (see auspice sense 3) or omens
solemnize,3.0,to observe or honor with solemnity
Perform,1.0,to adhere to the terms of fulfill perform a contract
Remember,2.0,to bring to mind or think of again
Next,1.0,"immediately adjacent (as in place, rank, or time)"
Kelly,1.0,Ellsworth 1923–2015 American artist
birthdays,1.0,the day of a person's birth
anniversaries,1.0,the annual recurrence of a date marking a notable event
dines,1.0,to take dinner
Teaching,1.0,"the act, practice, or profession of a teacher"
metropolis,1.0,"the chief or capital city of a country, state, or region"
Sidney,1.0,"Sir Philip 1554–1586 English poet, statesman, and soldier"
p,2.0,the 16th letter of the English alphabet
Success,4.0,degree or measure of succeeding
fourths,2.0,one that is number four in a series — see Table of Numbers
10th,2.0,one that is number 10 in a series — see Table of Numbers
moments,2.0,a minute portion or point of time instant a moment of dreadful suspense— Graham Greene
oppositional,2.0,a configuration (see configuration sense 1b) in which one celestial (see celestial entry 1 sense 2) body is opposite another (such as the sun) in the sky or in which the elongation (see elongation sense 1) is near or equal to 180 degrees
Walking,1.0,the action of one that walks
olfactory,12.0,of or relating to the sense of smell
sanctity,1.0,holiness of life and character godliness
cowards,5.0,one who shows disgraceful fear or timidity
uneducated,1.0,"having or showing little or no formal schooling not educated Owing to my father being left an orphan at the age of six years, in poverty, and in a new country, he became a wholly uneducated man.— Abraham Lincoln an uneducated attitude"
offstage,2.0,on a part of the stage not visible to the audience
seaward,4.0,the direction or side away from land and toward the open sea
subnormal,2.0,lower or smaller than normal
putrefaction,2.0,the decomposition of organic matter
circumstanced,2.0,placed in particular circumstances especially in regard to property or income
discontinued,4.0,no longer produced or provided
covet,1.0,to wish for earnestly
offending,3.0,"to transgress (see transgress sense transitive 1) the moral or divine law sin if it be a sin to covet honor, I am the most offending soul alive— William Shakespeare"
Cooke,1.0,1908–2004 American (British-born) essayist and journalist
billboards,1.0,"a flat surface (as of a panel, wall, or fence) on which bills are posted"
outrages,2.0,an act of violence or brutality
displeasing,2.0,to incur the disapproval or dislike of especially by annoying
affronting,2.0,to insult especially to the face by behavior or language
insulted,2.0,"to treat with insolence, indignity, or contempt affront"
outraged,2.0,an act of violence or brutality
tolerant,5.0,inclined to tolerate
stumbling,5.0,to fall into sin or waywardness
hurting,2.0,to inflict with physical pain wound He hurt his back while moving some boxes. was seriously hurt in a car accident You're hurting my arm!
nauseous,1.0,causing nausea or disgust nauseating the nauseous smell of rotting garbage
Ford,2.0,a shallow part of a body of water that may be crossed by wading
rejection,8.0,the action of rejecting the state of being rejected
cane,2.0,"a hollow or pithy, usually slender, and often flexible jointed stem (as of a reed or bamboo)"
panoramic,3.0,"of, relating to, or resembling a panoramasuch as"
recliner,2.0,a chair with an adjustable back and footrest
shrine,2.0,"a case, box, or receptacle"
proposing,4.0,to form or put forward a plan or intention
rejected,10.0,not given approval or acceptance
emoluments,1.0,the returns arising from office or employment usually in the form of compensation or perquisites
outhouses,1.0,"outbuilding … barns, stables, and other outhouses …— Wayne R. LaFave and Austin W. Scott, Jr. especially privy sense 1a They lived in an off-the-grid cabin with an out-door kitchen and an outhouse. — Diane Daniel"
departments,1.0,a distinct sphere province that's not my department
desks,1.0,"a table, frame, or case with a sloping or horizontal surface especially for writing and reading and often with drawers, compartments, and pigeonholes"
Pharmacopeia,2.0,"a book describing drugs, chemicals, and medicinal preparations"
Formulary,2.0,a collection of prescribed forms (such as oaths or prayers)
nonofficial,1.0,"not official not relating to, proceeding from, or approved by officials unofficial nonofficial reports nonofficial members"
puzzled,1.0,to offer or represent to (someone) a problem difficult to solve or a situation difficult to resolve challenge mentally
Parker,1.0,"Charlie 1920–1955 Charles Parker, Jr.; Bird or Yardbird American jazz musician"
unctuous,3.0,"having, revealing, or marked by a smug, ingratiating, and false earnestness or spirituality"
smear,4.0,a viscous or sticky substance
lubricate,2.0,to make smooth or slippery
lubricants,1.0,"a substance (such as grease) capable of reducing friction, heat, and wear when introduced as a film between solid surfaces"
fuels,1.0,a material used to produce heat or power by burning
volatile,8.0,characterized by or subject to rapid or unexpected change
Doctor,2.0,an eminent theologian declared a sound expounder of doctrine by the Roman Catholic Church
endorsement,4.0,the act or process of endorsing
Oklahoma,6.0,"state in the south central U.S.; capital Oklahoma City area 69,956 square miles (181,186 square kilometers), population 3,751,351"
trooper,1.0,an enlisted cavalryman
rags,1.0,a waste piece of cloth
dusty,1.0,covered or abounding with dust
cocktail,2.0,a usually iced drink of wine or distilled liquor mixed with flavoring ingredients
bitters,1.0,"being, inducing, or marked by the one of the five basic taste sensations that is peculiarly acrid, astringent, and often disagreeable and characteristic of citrus peels, unsweetened cocoa, black coffee, mature leafy greens (such as kale or mustard), or ale"
preferring,3.0,to promote or advance to a rank or position
harping,3.0,"a plucked stringed instrument consisting of a resonator, an arched or angled neck that may be supported by a post, and strings of graded length that are perpendicular to the soundboard"
feasible,3.0,capable of being done or carried out
Ontario,6.0,"province of eastern Canada between the Great Lakes and Hudson Bay and bordering on the United States (New York, Michigan, and Minnesota); capital Toronto area 350,814 square miles (908,608 square kilometers), population 12,851,821"
ketone,6.0,any of a class of organic compounds (such as acetone) characterized by a carbonyl group attached to two carbon atoms
oxo,3.0,containing oxygen
Mine,3.0,my —used before a word beginning with a vowel or hthis treasure in mine arms— William Shakespeare or sometimes as a modifier of a preceding noun —archaic except in an elevated style
Once,4.0,one time and no more
preeminently,3.0,"having paramount rank, dignity, or importance outstanding, supreme"
unquestionably,3.0,not questionable indisputable unquestionable evidence unquestionable integrity
peerless,2.0,"matchless, incomparable"
Orwell,2.0,George 1903–1950 pseudonym of Eric Arthur Blair English author
parted,4.0,divided into parts
buttoned,3.0,a small knob or disk secured to an article (as of clothing) and used as a fastener by passing it through a buttonhole or loop
zipped,3.0,"to move, act, or function with speed and vigor"
vulnerable,5.0,capable of being physically or emotionally wounded
incision,12.0,"cut, gash"
enterable,9.0,to go or come in
unfolded,4.0,not folded
valves,4.0,"any of numerous mechanical devices by which the flow of liquid, gas, or loose material in bulk may be started, stopped, or regulated by a movable part that opens, shuts, or partially obstructs one or more ports or passageways"
developers,3.0,one that developssuch as
accessibility,4.0,capable of being reached
porous,9.0,possessing or full of pores
friable,3.0,easily crumbled or pulverized
hampering,3.0,"to restrict the movement of by bonds or obstacles impede pitching … violently in the seaway, hampered by her heavy tow— R. S. Porteous"
unguarded,3.0,vulnerable to attack unprotected
misinterpretation,3.0,failure to understand or interpret something correctly
endpoints,3.0,a point marking the completion of a process or stage of a process
gravitationally,3.0,a force manifested by acceleration toward each other of two free material particles or bodies or of radiant-energy quanta gravity sense 3a(2)
commencing,3.0,to enter upon begin commence proceedings
unobstructed,11.0,clear or free from obstructions or obstacles not obstructed an unobstructed view of the river
unconcealed,3.0,not concealed openly shown
professionals,3.0,"of, relating to, or characteristic of a profession"
amateurs,3.0,"one who engages in a pursuit, study, science, or sport as a pastime rather than as a profession"
appeals,6.0,a legal proceeding by which a case is brought before a higher court for review of the decision of a lower court
bandages,4.0,"a strip of fabric used especially to cover, dress, and bind up wounds"
overgrowth,3.0,to grow over so as to cover with herbage
custodial,3.0,relating to guardianship
inmates,3.0,any of a group occupying a single place of residence
summing,4.0,an indefinite or specified amount of money
endgame,1.0,the stage of a chess game after major reduction of forces
refinery,1.0,a building and equipment for refining or processing something (such as oil or sugar)
potency,5.0,"force, power"
restoration,7.0,an act of restoring or the condition of being restoredsuch as
clearance,1.0,an act or process of clearingsuch as
excision,1.0,the act or procedure of removing by or as if by cutting out
suturing,5.0,a strand or fiber used to sew parts of the living body
Bar,1.0,"a straight piece (as of wood or metal) that is longer than it is wide and has any of various uses (as for a lever, support, barrier, or fastening)"
